"Time (sec), t","Pwr Demand (kW), P_dem","Velocity (m/s), v_dc",
504,-0.235881428,0.44704,
505,0,0,
506,0,0,
507,0,0,
508,0,0,
509,0,0,
510,0,0,
511,0.881086407,0.536448,
512,2.262341006,1.56464,
513,1.941340083,2.45872,
514,4.207550866,2.90576,
515,3.261223997,3.79984,
516,3.124779529,4.291584,
517,4.966982065,4.69392,
518,8.089628365,5.319776,
519,9.129315041,6.25856,
520,9.052274959,7.15264,
521,7.964275178,7.912608,
522,7.460302599,8.49376,
523,6.737316769,8.985504,
524,7.680470067,9.38784,
525,8.075607577,9.83488,
526,7.122577967,10.28192,
527,6.698361023,10.639552,
528,4.760424284,10.95248,
529,2.657468983,11.131296,
530,1.937089558,11.176,
531,1.937089558,11.176,
532,1.937089558,11.176,
533,1.937089558,11.176,
534,1.937089558,11.176,
535,6.346664222,11.176,
536,3.51286971,11.444224,
537,3.548556931,11.533632,
538,-1.001521057,11.62304,
539,-1.002534747,11.444224,
540,0.478832451,11.265408,
541,1.937089558,11.176,
542,1.937089558,11.176,
543,-2.472485107,11.176,
544,-7.456658061,10.907776,
545,-15,10.326624,
546,-15,8.851392,
547,-14.90916902,7.37616,
548,-11.96754326,5.900928,
549,-8.999112134,4.425696,
550,-6.01057699,2.950464,
551,-3.008639165,1.475232,
552,0,0,
553,0,0,
554,0,0,
555,0,0,
556,0,0,
557,0,0,
558,0,0,
559,0,0,
560,0,0,
561,0,0,
562,0,0,
563,0,0,
564,0,0,
565,0,0,
566,0,0,
567,0,0,
568,0,0,
569,3.394063248,1.475232,
570,6.794827836,2.950464,
571,9.62693125,4.425696,
572,6.93765979,5.81152,
573,6.953166232,6.526784,
574,5.759792543,7.15264,
575,1.139697006,7.59968,
576,1.139697006,7.59968,
577,3.638455983,7.59968,
578,2.211500269,7.8232,
579,1.199987643,7.912608,
580,0.159328022,7.912608,
581,-1.389652374,7.8232,
582,0.639945211,7.59968,
583,-0.359223884,7.554976,
584,3.05791845,7.420864,
585,1.639448801,7.59968,
586,0.645521848,7.644384,
587,-0.859310175,7.59968,
588,0.617953802,7.420864,
589,1.097587016,7.37616,
590,1.582640229,7.37616,
591,3.05791845,7.420864,
592,4.138207778,7.59968,
593,5.847788014,7.867904,
594,5.077808112,8.27024,
595,6.978965476,8.583168,
596,6.179543063,9.030208,
597,2.124405989,9.38784,
598,2.137282997,9.432544,
599,4.019859008,9.477248,
600,4.107198212,9.656064,
601,4.195181872,9.83488,
602,2.308332474,10.013696,
603,1.660341097,10.0584,
604,1.660341097,10.0584,
